FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
2110671|J W Whittemore Hall|Building|VA|51|Montgomery|121|371351N|0802529W|37.2308333|-80.4247222|||||625|2051|Blacksburg|03/28/2007|
2110673|James H Lane Hall|Building|VA|51|Montgomery|121|371351N|0802512W|37.2308333|-80.42|||||640|2100|Blacksburg|03/28/2007|
2110674|Jimmie Monteith Junior Hall|Building|VA|51|Montgomery|121|371354N|0802511W|37.2316667|-80.4197222|||||639|2096|Blacksburg|03/28/2007|
2110675|John Houston Squires Student Center|Building|VA|51|Montgomery|121|371346N|0802506W|37.2294444|-80.4183333|||||627|2057|Blacksburg|03/28/2007|
2110677|Julian Burruss Hall|Building|VA|51|Montgomery|121|371344N|0802526W|37.2288889|-80.4238889|||||629|2064|Blacksburg|03/28/2007|
2110678|Leander Dietrick Dining Hall|Building|VA|51|Montgomery|121|371327N|0802517W|37.2241667|-80.4213889|||||638|2093|Blacksburg|03/28/2007|
2110679|Lingan Randolph Hall|Building|VA|51|Montgomery|121|371350N|0802524W|37.2305556|-80.4233333|||||634|2080|Blacksburg|03/28/2007|
2110680|Louis O'Shaughnessy Hall|Building|VA|51|Montgomery|121|371331N|0802507W|37.2252778|-80.4186111|||||634|2080|Blacksburg|03/28/2007|
2110681|Major Lloyd W Williams Hall|Building|VA|51|Montgomery|121|371352N|0802516W|37.2311111|-80.4211111|||||637|2090|Blacksburg|03/28/2007|
2110682|Maude Wallace Hall|Building|VA|51|Montgomery|121|371322N|0802528W|37.2227778|-80.4244444|||||628|2060|Blacksburg|03/28/2007|
2110684|McComas Hall|Building|VA|51|Montgomery|121|371312N|0802522W|37.22|-80.4227778|||||635|2083|Blacksburg|03/28/2007|
2110685|Media Building|Building|VA|51|Montgomery|121|371343N|0802458W|37.2286111|-80.4161111|||||628|2060|Blacksburg|03/28/2007|
2110686|Merryman Athletic Facility|Building|VA|51|Montgomery|121|371317N|0802358W|37.2213889|-80.3994444|||||679|2228|Blacksburg|03/28/2007|
2110688|Military Building|Building|VA|51|Montgomery|121|371354N|0802518W|37.2316667|-80.4216667|||||636|2087|Blacksburg|03/28/2007|
2110689|Miller-Johnson Track/Soccer Complex|Locale|VA|51|Montgomery|121|371303N|0802518W|37.2175|-80.4216667|||||624|2047|Blacksburg|03/28/2007|
2110690|New Residence Hall - East|Building|VA|51|Montgomery|121|371332N|0802509W|37.2255556|-80.4191667|||||633|2077|Blacksburg|03/28/2007|
2110694|Old Security Building|Building|VA|51|Montgomery|121|371353N|0802518W|37.2313889|-80.4216667|||||636|2087|Blacksburg|03/28/2007|
